00|75.518.289/5908-84|Empresa Versao2 01 LTDA|(48) 94113-6042
01|NFE|01-0001|2477,39
02|1|Item 504|372,96
02|2|Pacote 882|425,08
02|3|Serviço 148|384,89
02|4|Peça 721|383,93
02|5|Produto 835|77,74
02|6|Assinatura 441|57,06
02|7|Licença 928|115,26
02|8|Pacote 676|399,98
02|9|Componente 765|87,26
02|10|Produto 189|173,23
01|CTRC|01-0002|2300,50
02|1|Peça 509|385,79
02|2|Componente 777|278,85
02|3|Licença 527|72,51
02|4|Licença 663|86,38
02|5|Item 745|295,90
02|6|Item 566|89,88
02|7|Item 741|282,01
02|8|Serviço 520|86,11
02|9|Pacote 957|247,18
02|10|Peça 232|475,89
01|NFE|01-0003|2133,23
02|1|Componente 754|115,57
02|2|Pacote 645|164,56
02|3|Produto 127|170,49
02|4|Licença 026|394,37
02|5|Serviço 718|479,14
02|6|Item 401|467,09
02|7|Licença 330|256,82
02|8|Assinatura 053|85,19
01|CTRC|01-0004|1603,76
02|1|Componente 287|96,78
02|2|Serviço 932|312,59
02|3|Produto 573|229,95
02|4|Licença 841|128,59
02|5|Assinatura 010|65,50
02|6|Item 251|185,42
02|7|Pacote 720|244,34
02|8|Produto 902|340,59
01|NFS|01-0005|1924,09
02|1|Pacote 639|210,24
02|2|Componente 632|227,38
02|3|Item 422|49,00
02|4|Pacote 458|146,71
02|5|Assinatura 712|34,25
02|6|Componente 272|442,44
02|7|Produto 189|336,92
02|8|Assinatura 053|477,15
01|CTRC|01-0006|1444,72
02|1|Peça 876|350,09
02|2|Licença 755|46,09
02|3|Produto 349|47,78
02|4|Componente 305|137,36
02|5|Item 689|189,84
02|6|Item 736|373,77
02|7|Assinatura 662|299,79
01|NFC|01-0007|2032,96
02|1|Assinatura 630|490,96
02|2|Peça 886|29,99
02|3|Produto 256|114,01
02|4|Item 362|357,91
02|5|Componente 162|145,67
02|6|Componente 974|291,44
02|7|Produto 602|113,32
02|8|Peça 974|182,22
02|9|Componente 445|307,44
01|CTRC|01-0008|1974,66
02|1|Item 218|410,58
02|2|Licença 776|200,73
02|3|Produto 495|284,10
02|4|Componente 973|224,45
02|5|Produto 046|217,50
02|6|Assinatura 134|473,71
02|7|Item 108|163,59
01|CTRC|01-0009|2733,56
02|1|Serviço 584|292,04
02|2|Produto 546|16,65
02|3|Pacote 943|254,08
02|4|Produto 063|412,34
02|5|Pacote 815|18,75
02|6|Pacote 622|496,57
02|7|Componente 532|308,81
02|8|Componente 309|307,24
02|9|Pacote 765|417,85
02|10|Produto 900|209,23
01|NFC|01-0010|2823,75
02|1|Peça 644|451,92
02|2|Produto 675|339,25
02|3|Assinatura 970|447,61
02|4|Licença 799|104,84
02|5|Peça 461|414,72
02|6|Produto 319|497,48
02|7|Assinatura 325|373,48
02|8|Produto 911|194,45
00|58.570.338/2910-06|Empresa Versao2 02 LTDA|(36) 94858-6745
01|NFC|02-0001|2813,71
02|1|Peça 052|157,88
02|2|Licença 921|64,98
02|3|Componente 286|275,08
02|4|Serviço 043|495,17
02|5|Pacote 168|493,91
02|6|Licença 223|449,18
02|7|Pacote 666|312,59
02|8|Serviço 512|429,44
02|9|Serviço 825|135,48
01|NFC|02-0002|2200,52
02|1|Licença 713|50,32
02|2|Produto 890|451,04
02|3|Licença 682|108,28
02|4|Serviço 365|234,47
02|5|Produto 391|446,72
02|6|Item 237|60,68
02|7|Pacote 789|104,49
02|8|Componente 180|452,35
02|9|Licença 071|145,07
02|10|Item 385|147,10
01|NFS|02-0003|2004,28
02|1|Serviço 521|327,67
02|2|Item 540|351,23
02|3|Peça 194|107,54
02|4|Produto 271|296,35
02|5|Assinatura 348|365,86
02|6|Licença 169|120,70
02|7|Componente 546|434,93
01|CTRC|02-0004|2242,13
02|1|Componente 876|416,39
02|2|Licença 047|307,29
02|3|Item 201|313,60
02|4|Assinatura 789|459,40
02|5|Produto 470|316,20
02|6|Item 926|103,23
02|7|Licença 093|208,25
02|8|Licença 238|117,77
01|CTRC|02-0005|1797,10
02|1|Produto 830|46,76
02|2|Componente 240|262,44
02|3|Item 400|10,50
02|4|Componente 855|472,52
02|5|Serviço 267|410,37
02|6|Serviço 552|54,74
02|7|Peça 062|367,81
02|8|Componente 598|171,96
01|NFC|02-0006|3098,77
